proof_system,alg,parties,net,size,trial,time
plonk,spdz,2,lan,128,0,1.172
plonk,spdz,2,lan,128,1,1.1795
groth16,local,1,cohost,1024,2,0.34535000000000005
groth16,local,1,cohost,1024,1,0.346846
groth16,local,1,cohost,1024,0,0.347733
plonk,spdz,3,lan,128,0,1.1916666666666667
groth16,gsz,3,lan,1024,2,0.40896033333333337
groth16,gsz,3,lan,1024,0,0.41502666666666665
groth16,spdz,2,lan,512,2,0.4139305
groth16,gsz,3,lan,1024,1,0.4076556666666667
groth16,spdz,2,lan,512,1,0.413407
groth16,spdz,3,lan,512,2,0.41937266666666667
groth16,spdz,3,lan,512,1,0.4203726666666667
groth16,spdz,2,lan,512,0,0.417516
groth16,spdz,3,lan,512,0,0.42028233333333337
marlin,local,1,cohost,256,2,0.420161
marlin,local,1,cohost,256,1,0.43668900000000005
marlin,local,1,cohost,256,0,0.45344900000000005
marlin,gsz,3,lan,256,2,0.43295599999999995
marlin,gsz,3,lan,256,1,0.43157
marlin,gsz,3,lan,256,0,0.43185
plonk,gsz,3,lan,128,1,0.68488
plonk,gsz,3,lan,128,2,0.7030966666666666
plonk,gsz,3,lan,128,0,0.6939829999999999
plonk,local,1,cohost,128,0,0.5666040000000001
plonk,local,1,cohost,128,2,0.5677530000000001
plonk,local,1,cohost,128,1,0.567074
marlin,spdz,3,lan,128,2,0.4690876666666666
marlin,spdz,3,lan,128,1,0.4683736666666667
marlin,spdz,2,lan,128,2,0.46195300000000006
marlin,spdz,2,lan,128,0,0.459741
marlin,spdz,2,lan,128,1,0.4647635
marlin,spdz,3,lan,128,0,0.46822766666666665
plonk,spdz,3,lan,64,2,0.7176089999999999
plonk,spdz,3,lan,64,1,0.720012
plonk,spdz,3,lan,64,0,0.7181316666666667
plonk,spdz,2,lan,64,2,0.706594
groth16,local,1,cohost,512,1,0.19770400000000002
groth16,local,1,cohost,512,2,0.19786
groth16,local,1,cohost,512,0,0.197957
plonk,spdz,2,lan,64,1,0.7035445
plonk,spdz,2,lan,64,0,0.7086790000000001
groth16,gsz,3,lan,512,2,0.25559533333333334
